Date,Open,High,Low,Close,Volume,Adj Close,Symbol
2010-01-04,131.179993,132.970001,130.850006,132.449997,6155300,111.405,IBM
2010-01-05,131.679993,131.850006,130.100006,130.850006,6841400,110.05923200000001,IBM
2010-01-06,130.679993,131.490005,129.809998,130.0,5605300,109.344283,IBM
2010-01-07,129.869995,130.25,128.91000400000001,129.550003,5840600,108.96578600000001,IBM
2010-01-08,129.070007,130.919998,129.050003,130.850006,4197200,110.05923200000001,IBM
2010-01-11,131.059998,131.059998,128.669998,129.479996,5730400,108.906903,IBM
2010-01-12,129.029999,131.330002,129.0,130.509995,8081500,109.77324499999999,IBM
2010-01-13,130.389999,131.119995,129.16000400000001,130.229996,6455400,109.53773500000001,IBM
2010-01-14,130.550003,132.71000700000002,129.91000400000001,132.309998,7111800,111.287245,IBM
2010-01-15,132.029999,132.889999,131.08999599999999,131.779999,8494400,110.841458,IBM
2010-01-19,131.630005,134.25,131.559998,134.139999,13916200,112.82647800000001,IBM
2010-01-20,130.46000700000002,131.149994,128.949997,130.25,15197500,109.554561,IBM
2010-01-21,130.470001,130.690002,128.059998,129.0,9608600,108.503173,IBM
2010-01-22,128.669998,128.889999,125.370003,125.5,10088600,105.55928899999999,IBM
2010-01-25,126.33000200000001,126.889999,125.709999,126.120003,5738500,106.080779,IBM
2010-01-26,125.91999799999999,127.75,125.410004,125.75,7135300,105.769566,IBM
2010-01-27,125.82,126.959999,125.040001,126.33000200000001,8719200,106.25741200000002,IBM
2010-01-28,127.029999,127.040001,123.050003,123.75,9622200,104.087347,IBM
2010-01-29,124.32,125.0,121.900002,122.389999,11571200,102.943437,IBM
2010-02-01,123.230003,124.949997,122.779999,124.66999799999999,7242900,104.861166,IBM
2010-02-02,124.790001,125.809998,123.949997,125.529999,5899900,105.584521,IBM
2010-02-03,125.160004,126.07,125.07,125.660004,4177100,105.69386999999999,IBM
2010-02-04,125.190002,125.440002,122.900002,123.0,9126900,103.456514,IBM
2010-02-05,123.040001,123.720001,121.83000200000001,123.519997,8617000,103.893889,IBM
2010-02-08,123.150002,123.220001,121.739998,121.879997,5718500,102.972982,IBM
2010-02-09,122.650002,124.199997,122.459999,123.209999,6044500,104.096663,IBM
2010-02-10,122.940002,123.650002,122.209999,122.809998,5219100,103.758713,IBM
2010-02-11,122.58000200000001,124.199997,122.059998,123.730003,5089000,104.536,IBM
2010-02-12,123.010002,124.050003,121.610001,124.0,8017700,104.764113,IBM
2010-02-16,124.910004,125.230003,124.110001,125.230003,6777300,105.803308,IBM
2010-02-17,125.5,126.529999,125.209999,126.33000200000001,5827400,106.732666,IBM
2010-02-18,126.129997,128.0,126.0,127.809998,5525900,107.983073,IBM
2010-02-19,127.349998,128.059998,126.870003,127.190002,6303100,107.45925600000001,IBM
2010-02-22,127.300003,127.43,126.309998,126.849998,3808100,107.17199699999999,IBM
2010-02-23,126.480003,127.660004,126.0,126.459999,4591900,106.842497,IBM
2010-02-24,127.019997,128.270004,126.809998,127.589996,4782000,107.7972,IBM
2010-02-25,126.050003,127.239998,125.57,127.07,5658700,107.357869,IBM
2010-02-26,127.010002,128.0,126.739998,127.160004,4784200,107.43391100000001,IBM
2010-03-01,127.5,128.830002,127.470001,128.570007,4577700,108.625184,IBM
2010-03-02,128.699997,129.08999599999999,127.129997,127.41999799999999,6013300,107.653573,IBM
2010-03-03,127.730003,128.020004,126.68,126.879997,6390000,107.19734199999999,IBM
2010-03-04,127.07,127.07,125.470001,126.720001,6032300,107.062165,IBM
2010-03-05,127.16999799999999,127.550003,127.040001,127.25,6140200,107.509947,IBM
2010-03-08,127.059998,127.5,126.360001,126.410004,6199300,106.800257,IBM
2010-03-09,126.269997,126.290001,125.199997,125.550003,7528800,106.07366699999999,IBM
2010-03-10,125.989998,126.360001,125.209999,125.620003,6916200,106.13280800000001,IBM
2010-03-11,125.709999,127.809998,125.709999,127.599998,7922200,107.80565,IBM
2010-03-12,127.910004,128.369995,127.510002,127.940002,5169500,108.09291,IBM
2010-03-15,127.400002,128.33999599999999,127.279999,127.83000200000001,4497700,107.999974,IBM
2010-03-16,128.0,128.880005,127.449997,128.669998,6134900,108.70966299999999,IBM
2010-03-17,128.899994,128.929993,127.360001,127.760002,6348400,107.94083300000001,IBM
2010-03-18,127.459999,128.75,127.449997,128.380005,4954400,108.464656,IBM
2010-03-19,127.709999,128.929993,126.779999,127.709999,10744300,107.898587,IBM
2010-03-22,127.110001,128.389999,126.57,127.980003,5651900,108.126706,IBM
2010-03-23,127.940002,129.429993,127.639999,129.369995,5978500,109.301071,IBM
2010-03-24,128.630005,129.949997,128.470001,128.529999,6669300,108.59138200000001,IBM
2010-03-25,129.360001,130.729996,129.130005,129.240005,7603200,109.19124599999999,IBM
2010-03-26,128.929993,129.779999,128.720001,129.259995,5550800,109.20813400000002,IBM
2010-03-29,129.300003,129.949997,128.259995,128.58999599999999,4643000,108.642072,IBM
2010-03-30,128.899994,129.130005,128.25,128.770004,3426600,108.794155,IBM
2010-03-31,128.229996,128.75,127.650002,128.25,4904800,108.354818,IBM
2010-04-01,128.949997,129.309998,127.550003,128.25,4980500,108.354818,IBM
2010-04-05,128.380005,129.800003,128.139999,129.350006,4118700,109.28418300000001,IBM
2010-04-06,128.679993,129.300003,128.050003,128.929993,3926300,108.929325,IBM
2010-04-07,128.529999,129.270004,128.009995,128.479996,5157000,108.549135,IBM
2010-04-08,128.03999299999998,128.229996,127.199997,127.610001,6006900,107.81410100000001,IBM
2010-04-09,127.879997,128.869995,127.120003,128.759995,5185100,108.785698,IBM
2010-04-12,128.570007,128.96000700000002,128.240005,128.360001,3992300,108.447755,IBM
2010-04-13,128.259995,129.429993,127.839996,129.029999,6819100,109.01381699999999,IBM
2010-04-14,129.729996,131.419998,129.46000700000002,131.25,8545800,110.88943400000001,IBM
2010-04-15,130.529999,131.139999,130.190002,130.889999,6425300,110.58528000000001,IBM
2010-04-16,130.679993,132.169998,130.25,130.630005,9546200,110.365618,IBM
2010-04-19,130.380005,132.279999,130.380005,132.229996,11353700,111.717405,IBM
2010-04-20,129.199997,130.330002,128.259995,129.690002,15216500,109.571436,IBM
2010-04-21,129.869995,130.270004,128.5,128.990005,7559200,108.980028,IBM
2010-04-22,128.639999,129.360001,127.769997,129.130005,6018500,109.09831000000001,IBM
2010-04-23,129.080002,130.100006,128.71000700000002,129.990005,6197300,109.8249,IBM
2010-04-26,129.759995,131.03999299999998,129.53999299999998,130.729996,5285400,110.450097,IBM
2010-04-27,129.899994,132.0,128.71000700000002,128.820007,10916700,108.836402,IBM
2010-04-28,129.399994,130.470001,129.029999,130.100006,7122300,109.917837,IBM
2010-04-29,130.550003,131.21000700000002,130.149994,130.46000700000002,5786900,110.22199099999999,IBM
2010-04-30,130.429993,130.639999,128.83999599999999,129.0,6266700,108.988472,IBM
2010-05-03,129.389999,130.139999,128.800003,129.600006,4992100,109.495401,IBM
2010-05-04,128.889999,128.929993,126.57,128.119995,8285000,108.24498100000001,IBM
